displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Gray Heron,Gray Heron,Ardea cinerea,graher1,species,graher1,species,True
Purple Heron,Purple Heron,Ardea purpurea,purher1,species,purher1,species,True
Gray/Purple Heron,Gray/Purple Heron,Ardea cinerea/purpurea,y01021,slash,y01021,slash,False
Great Egret,Great Egret,Ardea alba,greegr,species,greegr,species,True
Ardea sp.,Ardea sp.,Ardea sp.,ardea1,spuh,ardea1,spuh,False
Little Egret,Little Egret,Egretta garzetta,litegr,species,litegr,species,True
Western Reef-Heron,Western Reef-Heron,Egretta gularis,werher,species,werher,species,True
Little Egret x Western Reef-Heron (hybrid),Little Egret x Western Reef-Heron (hybrid),Egretta garzetta x gularis,x00656,hybrid,x00656,hybrid,False
Little Egret/Western Reef-Heron,Little Egret/Western Reef-Heron,Egretta garzetta/gularis,y00835,slash,y00835,slash,False
Cattle Egret,Cattle Egret,Bubulcus ibis,categr,species,categr,species,True
white egret sp.,white egret sp.,Ardea/Egretta/Bubulcus sp.,whiegr1,spuh,whiegr1,spuh,False
Squacco Heron,Squacco Heron,Ardeola ralloides,squher1,species,squher1,species,True
Black-crowned Night-Heron,Black-crowned Night-Heron,Nycticorax nycticorax,bcnher,species,bcnher,species,True
heron sp.,heron sp.,Ardeidae sp.,heron1,spuh,heron1,spuh,False
Glossy Ibis,Glossy Ibis,Plegadis falcinellus,gloibi,species,gloibi,species,True
Glossy/White-faced Ibis,Glossy/White-faced Ibis,Plegadis falcinellus/chihi,plegad,slash,plegad,slash,False
African Sacred Ibis,African Sacred Ibis,Threskiornis aethiopicus,sacibi2,species,sacibi2,species,True
Northern Bald Ibis,Northern Bald Ibis,Geronticus eremita,waldra1,species,waldra1,species,True
Eurasian Spoonbill,Eurasian Spoonbill,Platalea leucorodia,eurspo1,species,eurspo1,species,True
African Spoonbill,African Spoonbill,Platalea alba,afrspo1,species,afrspo1,species,True
Osprey,Osprey,Pandion haliaetus,osprey,species,osprey,species,True
Black-winged Kite,Black-winged Kite,Elanus caeruleus,bkskit1,species,bkskit1,species,True
