#,Book name,Column1,eBird name,code_loc,lat,lon,IBA,Fee
32,Masai mara National Reserve,sub,Maasai Mara NR--Central section,L948217,-1.5084202,35.1064682,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Enkewa Camp,L7621799,-1.6432982,35.2828395,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Fig Tree Camp,L1758403,-1.4344525,35.1897814,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Governor's Camp,L921195,-1.2991721,35.0379522,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Ilkeliani Camp,L1028704,-1.4611091,35.2310944,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Keekorok Lodge,L1279976,-1.5934988,35.2331543,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Little Governor's Camp,L3895314,-1.2823751,35.0371814,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Ashnil Camp,L3839014,-1.463867,35.044383,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Engai Lodge,L7343875,-1.354342,34.868814,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Intrepids,L2389174,-1.4167,35.1104,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara North Airstrip,L4694508,-1.2642907,35.0228262,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Plains Camp,L5059306,-1.344383,35.163605,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara River Bridge & Hippo Pond,L4715687,-1.5434782,35.0200796,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Serena Lodge,L2534521,-1.40267,35.0251,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Simba Lodge,L2940048,-1.4712424,35.2953601,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Mara Triangle,L1273199,-1.4017385,34.9485397,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Musiara Airstrip,L5174792,-1.2995815,35.0587048,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Musiara Swamp,L4715640,-1.2756991,35.0515366,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Naibor Camp,L4929124,-1.423433,35.076324,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Northern section and boundaries,L920932,-1.2523417,35.102005,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Sand River,L1409703,-1.6091482,35.1508427,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Sarova Mara Game Camp,L2741698,-1.5296902,35.3189099,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Siana Springs (formely Cottar's Camp),L1823845,-1.4991199,35.415802,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Southern section,L2380738,-1.547339,35.181656,,
32,Masai mara National Reserve,sub,Maasai Mara NR--Talek Plains,L4723246,-1.4621387,35.2018261,,
32,Masai mara National Reserve,sub,Maasai Mara Sopa Lodge,L8761465,-1.5929221,35.3905506,,
32,Masai mara National Reserve,sub,Maasia Mara NR--Sala's Camp,L4070409,-1.600146,35.131899,,
33,Dunga Swamp,general,"Kisumu Waterfront (incl. Ndunga Swamp, Hippo Pt. and Impala Park)",L921121,-0.1254071,34.7425032,,
34,Yala Swamp,general,Yala Swamp and Lake Kanyaboli (general),L2980966,0.0562019,34.148941,,
35,Bunyala Paddies,general,Bunyala Rice Farms,L4614688,0.0961818,34.0559435,,
36,Mount Elgon,general,Mt Elgon NP (Kenya),L1856674,1.0524997,34.648304,,
37,Saiwa Swamp National Park,general,Saiwa Swamp NP,L1279808,1.0961627,35.1196861,,
38,Kongelai Escarpment,general,Kongelai Escarpment,L1756044,1.3268496,35.0604629,,
39,Sabaki River Esturary,general,Sabaki River Estuary,L981423,-3.1562166,40.1303101,,
40,Dakatcha Woodland Forestes,sub,Dakatcha Woodlands (Adu area),L7842947,-2.8436109,39.9280001,,
41,Arabuko-Sokeke Forest,general,Arabuko-Sokoke Forest,L920917,-3.3364116,39.8781395,,
41,Arabuko-Sokeke Forest,sub,Arabuko-Sokoke Forest--Braschystegia Forest,L6096235,-3.4105265,39.8959064,,
41,Arabuko-Sokeke Forest,sub,Arabuko-Sokoke Forest--Swamp,L5502383,-3.2629338,39.9754983,,
41,Arabuko-Sokeke Forest,sub,Arabuko-Sokoke NP--Kenya Forest Service,L6515643,-3.3017581,39.9963659,,
42,Mida Creek,general,Mida Creek,L921088,-3.3283915,39.9694633,,
43,Haller Park,sub,Haller Park--Bamburi Nature Trail,L2070641,-4.017357,39.7181511,,
44,Nguuni Nature Sanctuary,general,Nguuni Nature Sanctuary,L3267612,-3.9905772,39.6919298,,
45,Shimba Hills National Reserve,sub,Shimba Hills NR--Shimba Hills Lodge,L921184,-4.2008621,39.4320345,,
45,Shimba Hills National Reserve,general,Shimba Hills NR,L978361,-4.2636301,39.4005775,,
46,Mombasa Road,sub,Mombasa Rd. (btwn Athi River and Salama),L1803073,-1.5977886,37.1656322,,
46,Mombasa Road,sub,Mombasa Rd. (btwn Kibwezi and Mtito Andei),L2956159,-2.568218,38.071598,,
46,Mombasa Road,sub,Mombasa Rd. (btwn Mtito Andei and Voi),L1460330,-3.0062986,38.4702587,,
46,Mombasa Road,sub,Mombasa Rd. (btwn Salama and Kiboko),L3635811,-2.0940285,37.4946213,,
46,Mombasa Road,sub,Mombasa Rd. (btwn Voi and Samburu),L1875249,-3.6326651,38.8778687,,
47,Tsavo West National Park,general,Tsavo West NP (general),L1403504,-3.1103486,38.3141327,,
47,Tsavo West National Park,sub,Tsavo West NP--Finch Hatton's Camp,L3621320,-2.9276331,37.912488,,
47,Tsavo West National Park,sub,Tsavo West NP--Kilaguni Lodge,L3635718,-2.9069493,38.0602992,,
47,Tsavo West National Park,sub,Tsavo West NP--Mzima Springs,L1403530,-2.9842277,38.0224366,,
47,Tsavo West National Park,sub,Tsavo West NP--Ngulia Lodge,L1801824,-3.0154527,38.2107174,,
47,Tsavo West National Park,sub,Tsavo West NP--Severin Safari Camp and Bandas,L4011256,-2.9985314,37.9855312,,
47,Tsavo West National Park,sub,Tsavo West NP--Voyager Ziwani Safari Camp,L3151199,-3.2170493,37.7994168,,
47,Tsavo West National Park,sub,Tsavo West NP--northern section,L1014026,-2.8065704,38.1592941,,
47,Tsavo West National Park,sub,Tsavo West NP--southern section,L1869311,-3.5411775,37.9587936,,
48,Taita Hills,sub,Taita Hills (general),L921179,-3.3681832,38.3797073,,
48,Taita Hills,sub,Taita Hills--Chawia Forest,L2484715,-3.4850255,38.3454394,,
48,Taita Hills,sub,Taita Hills--Macha Forest,L2484734,-3.4229927,38.3596015,,
48,Taita Hills,sub,Taita Hills--Mbololo Forest,L2484741,-3.3243299,38.4536076,,
48,Taita Hills,sub,Taita Hills--Ngaongao Forest,L2484692,-3.3692285,38.342371,,
48,Taita Hills,sub,Taita Hills--Vuria Forest,L2955726,-3.4114047,38.2978034,,
48,Taita Hills,general,Taita Hills--Wundanyi (general),L2484699,-3.4023333,38.36,,
49,Lake Jipe,sub,Tsavo West NP--Lake Jipe,L920928,-3.5994719,37.7691936,,
49,Lake Jipe,sub,Tsavo West NP--Lake Jipe Safari Camp,L5046640,-3.599,37.782,,
50,Amboseli National Park,general,Amboseli NP,L966981,-2.6516589,37.2624707,,
51,Amboseli National Park,sub,Amboseli NP--Amboseli Serena Lodge,L4991172,-2.70556,37.26661,,
52,Amboseli National Park,sub,Amboseli NP--Ol Tukai Lodge,L5505276,-2.6682494,37.2830459,,
53,Amboseli National Park,sub,Amboseli NP--Tortilis Camp,L4490156,-2.68351,37.181429,,
54,Amboseli National Park,sub,Amboseli northeast access (from Ol Tukai to the Emali rd.),L4753210,-2.6001203,37.3596954,,
55,Amboseli National Park,sub,Amboseli western access (Namanga to Meshanani Gate),L6308521,-2.4941069,36.9823408,,
101,,general,Lake Nakuru NP,L920937,-0.3567787,36.0902596,,
101,,sub,Lake Nakuru NP--Flamingo Hill Camp,L4213876,-0.3154487,36.0715672,,
101,,sub,Lake Nakuru NP--Lake Nakuru Lodge,L1233670,-0.4226908,36.1300206,,
101,,sub,Lake Nakuru NP--Lion Hill Lodge,L5381648,-0.3468709,36.121801,,
102,,general,Lewa Wildlife Conservancy,L1629281,0.2107997,37.4353981,,
102,,sub,Lewa Wildlife Conservancy--Lewa Safari Camp (Lerai Tented Camp),L2708029,0.2528603,37.3887706,,
103,,general,Ol Pejeta Conservancy,L2519039,0.021286,36.9137192,,
103,,sub,Ol Pejeta Conservancy--Sweetwaters Tented Camp,L2493316,0.002347,36.946214,,
104,,sub,Naro Moru Plains (Hwy A2 btwn Kiganjo and Naro Moru),L3633489,-0.2186961,37.0108366,,
104,,sub,Naro Moru Pond,L3825545,-0.21143,37.0134,,
104,,sub,Naro Moru River Lodge,L961024,-0.1552997,37.01258,,
104,,sub,Naro Moru to Solio Road,L6301483,-0.2084236,36.9592309,,
105,,general,Kichwa Tembo Lodge and Concession,L2020984,-1.2485231,35.0110245,,
